"GRD_ID","bio10","bio12","bio4"
"CRS3035RES5000mN2510000E4475000",22.6658935546875,977.816650390625,729.57861328125
"CRS3035RES5000mN2510000E4480000",22.6933479309082,979.165161132812,726.541015625
"CRS3035RES5000mN2510000E4485000",22.7553634643555,1001.17834472656,723.933349609375
"CRS3035RES5000mN1770000E2860000",26.0031890869141,791.106506347656,597.958435058594
"CRS3035RES5000mN2510000E4490000",22.8546028137207,994.098388671875,721.598266601562
"CRS3035RES5000mN2510000E4495000",22.9366760253906,972.910888671875,719.445556640625
"CRS3035RES5000mN2510000E4500000",22.9646987915039,977.088500976562,717.186096191406
"CRS3035RES5000mN2510000E4505000",23.0390300750732,988.828735351562,715.725646972656
"CRS3035RES5000mN2510000E4510000",23.0523815155029,998.126647949219,713.989196777344
"CRS3035RES5000mN2510000E4515000",23.1096668243408,1008.70678710938,712.667663574219
"CRS3035RES5000mN2510000E4520000",23.1499366760254,1021.09338378906,712.601440429688
"CRS3035RES5000mN2510000E4525000",23.1542320251465,1036.36083984375,712.892944335938
"CRS3035RES5000mN2510000E4530000",23.159704208374,1046.24169921875,711.084411621094
"CRS3035RES5000mN2510000E4535000",23.1733264923096,1051.11889648438,705.899536132812
"CRS3035RES5000mN1770000E2865000",25.5263404846191,804.706726074219,597.684631347656
"CRS3035RES5000mN2510000E4540000",23.1499996185303,1052.35852050781,697.073059082031
"CRS3035RES5000mN2510000E4545000",23.1115837097168,1057.71630859375,686.364013671875
"CRS3035RES5000mN2510000E4550000",23.0771389007568,1064.99438476562,675.744995117188
"CRS3035RES5000mN2510000E4555000",23.0490760803223,1078.09313964844,665.683776855469
"CRS3035RES5000mN2510000E4560000",23.0215129852295,1094.4560546875,655.565673828125
"CRS3035RES5000mN1770000E2870000",25.1961402893066,840.095947265625,598.100646972656
"CRS3035RES5000mN2510000E4610000",23.0845527648926,1581.63208007812,682.163330078125
"CRS3035RES5000mN2510000E4615000",21.8347606658936,1810.73840332031,680.152587890625
"CRS3035RES5000mN2510000E4620000",20.4509716033936,1940.54223632812,675.852661132812
"CRS3035RES5000mN2510000E4625000",19.6394290924072,1967.37780761719,677.951049804688
"CRS3035RES5000mN2510000E4630000",19.9432888031006,1801.76977539062,695.808349609375
"CRS3035RES5000mN2510000E4635000",19.7039337158203,1729.11059570312,701.184326171875
"CRS3035RES5000mN2510000E4640000",19.8185405731201,1667.75988769531,709.095886230469
"CRS3035RES5000mN2510000E4645000",19.3806648254395,1623.23706054688,706.065002441406
"CRS3035RES5000mN2510000E4650000",18.8025722503662,1729.74536132812,700.264953613281
"CRS3035RES5000mN1770000E2875000",25.6027088165283,829.871643066406,604.348571777344
"CRS3035RES5000mN2510000E4655000",17.2040901184082,1836.3837890625,678.041137695312
"CRS3035RES5000mN2510000E4660000",15.6419143676758,2035.17321777344,657.687316894531
"CRS3035RES5000mN2510000E4665000",16.3832778930664,1924.68725585938,672.127746582031
"CRS3035RES5000mN2510000E4670000",16.8652057647705,1695.08410644531,681.6591796875
"CRS3035RES5000mN2510000E4675000",16.5840549468994,1632.95983886719,677.992858886719
"CRS3035RES5000mN2510000E4680000",16.8263111114502,1592.32739257812,680.916137695312
"CRS3035RES5000mN2510000E4685000",16.2489395141602,1689.79919433594,670.872375488281
"CRS3035RES5000mN2510000E4690000",17.8291931152344,1705.43383789062,694.544982910156
"CRS3035RES5000mN2510000E4695000",17.0742511749268,1676.56225585938,682.646789550781
"CRS3035RES5000mN2510000E4700000",18.458610534668,1602.85510253906,706.888122558594
"CRS3035RES5000mN1770000E2880000",25.6877002716064,811.497009277344,607.636413574219
"CRS3035RES5000mN2510000E4705000",18.1282691955566,1456.94836425781,701.562316894531
"CRS3035RES5000mN2510000E4710000",16.7732467651367,1656.62036132812,675.949157714844
"CRS3035RES5000mN2510000E4715000",16.7756423950195,1720.27697753906,672.718933105469
"CRS3035RES5000mN2510000E4720000",19.4174385070801,1488.75402832031,718.438720703125
"CRS3035RES5000mN2510000E4725000",20.8489227294922,1159.34729003906,742.648254394531
"CRS3035RES5000mN2510000E4730000",20.9953346252441,1096.49328613281,743.290832519531
"CRS3035RES5000mN1770000E2885000",25.8754920959473,814.190734863281,611.830993652344
"CRS3035RES5000mN1770000E2890000",26.2127456665039,763.529541015625,616.302490234375
"CRS3035RES5000mN1770000E2895000",26.5489635467529,743.304016113281,620.029663085938
"CRS3035RES5000mN1770000E2900000",26.1701202392578,743.911682128906,618.060485839844
"CRS3035RES5000mN1770000E2905000",26.281623840332,772.509704589844,620.223693847656
"CRS3035RES5000mN1770000E2910000",26.0155429840088,819.661315917969,620.540161132812
"CRS3035RES5000mN1770000E2915000",26.3335723876953,810.837036132812,626.285888671875
"CRS3035RES5000mN1770000E2920000",27.6006774902344,691.252807617188,640.397888183594
"CRS3035RES5000mN1770000E2925000",27.0032062530518,691.1796875,638.902038574219
"CRS3035RES5000mN1770000E2930000",26.9252376556396,764.599914550781,641.148803710938
"CRS3035RES5000mN1770000E2935000",26.6157321929932,771.755615234375,641.283813476562
"CRS3035RES5000mN1770000E2940000",26.3551559448242,753.749145507812,641.233703613281
"CRS3035RES5000mN1770000E2945000",26.2424335479736,740.2724609375,641.733703613281
"CRS3035RES5000mN1770000E2950000",26.8444995880127,721.0537109375,648.226257324219
"CRS3035RES5000mN1770000E2955000",27.2239742279053,693.099914550781,653.386535644531
"CRS3035RES5000mN1770000E2960000",27.2394142150879,704.954345703125,655.752258300781
"CRS3035RES5000mN1770000E2965000",27.1112537384033,723.396484375,656.629150390625
"CRS3035RES5000mN1770000E2970000",27.2198333740234,718.400024414062,659.08251953125
