"grid_id","area_total","area_land","percent_land"
"CRS3035RES50000mN1750000E6500000",2500.01887789198,47.6356446614443,1.90541139839755
"CRS3035RES50000mN1800000E2650000",2500.01898633733,1598.08344171299,63.9228522041856
"CRS3035RES50000mN1800000E2700000",2500.01899432571,2500.01899432571,100
"CRS3035RES50000mN1800000E2750000",2500.01900208741,2500.01900208741,100
"CRS3035RES50000mN1800000E2800000",2500.01900962037,2500.01900962037,100
"CRS3035RES50000mN1800000E2850000",2500.01901692287,2500.01901692287,100
"CRS3035RES50000mN1800000E2900000",2500.01902399284,2500.01902399284,100
"CRS3035RES50000mN1800000E2950000",2500.01903082906,2500.01903082906,100
"CRS3035RES50000mN1800000E3000000",2500.01903742948,2500.01903742948,100
"CRS3035RES50000mN1800000E3050000",2500.01904379295,2500.01904379295,100
"CRS3035RES50000mN1800000E3100000",2500.01904991763,2500.01904991763,100
"CRS3035RES50000mN1800000E3150000",2500.01905580217,2500.01905580217,100
"CRS3035RES50000mN1800000E3200000",2500.01906144526,2500.01906144526,100
"CRS3035RES50000mN1800000E3250000",2500.0190668456,2500.0190668456,100
"CRS3035RES50000mN1800000E3300000",2500.01907200185,2500.01907200185,100
"CRS3035RES50000mN1800000E3350000",2500.01907691309,2500.01907691309,100
"CRS3035RES50000mN1800000E3400000",2500.01908157794,2056.10602648322,82.2436133241615
"CRS3035RES50000mN1800000E3450000",2500.01908599519,118.747765111764,4.74987434203905
"CRS3035RES50000mN1800000E3550000",2500.01909408402,535.192633924633,21.4075418540242
"CRS3035RES50000mN1800000E3650000",2500.0191011721,58.0060982946008,2.32022620416802
"CRS3035RES50000mN1800000E3700000",2500.01910433911,717.275744070765,28.6908105152412
"CRS3035RES50000mN1800000E4150000",2500.01912141586,751.61209243382,30.0642537489134
"CRS3035RES50000mN1800000E4200000",2500.01912203621,2500.01912203621,100
"CRS3035RES50000mN1800000E4250000",2500.01912240014,1989.19802399649,79.5673123526658
"CRS3035RES50000mN1800000E4800000",2500.01910950595,386.257738588508,15.4501914453301
"CRS3035RES50000mN1800000E4850000",2500.01910680415,2500.01910680415,100
"CRS3035RES50000mN1800000E4900000",2500.01910384922,1916.48243347647,76.6587115484723
"CRS3035RES50000mN1850000E2650000",2500.01899131695,1058.82009240986,42.352481964631
"CRS3035RES50000mN1850000E2700000",2500.0189993525,2500.0189993525,100
"CRS3035RES50000mN1850000E2750000",2500.0190071594,2500.0190071594,100
"CRS3035RES50000mN1850000E2800000",2500.01901473609,2500.01901473609,100
"CRS3035RES50000mN1850000E2850000",2500.0190220805,2500.0190220805,100
"CRS3035RES50000mN1850000E2900000",2500.01902919138,2500.01902919138,100
"CRS3035RES50000mN1850000E2950000",2500.01903606642,2500.01903606642,100
"CRS3035RES50000mN1850000E3000000",2500.01904270457,2500.01904270457,100
"CRS3035RES50000mN1850000E3050000",2500.01904910381,2500.01904910381,100
"CRS3035RES50000mN1850000E3100000",2500.01905526273,2500.01905526273,100
"CRS3035RES50000mN1850000E3150000",2500.01906118021,2500.01906118021,100
"CRS3035RES50000mN1850000E3200000",2500.01906685451,2500.01906685451,100
"CRS3035RES50000mN1850000E3250000",2500.01907228466,2500.01907228466,100
"CRS3035RES50000mN1850000E3300000",2500.01907746942,2500.01907746942,100
"CRS3035RES50000mN1850000E3350000",2500.01908240742,2500.01908240742,100
"CRS3035RES50000mN1850000E3400000",2500.01908709754,1636.04934215842,65.4414740512173
"CRS3035RES50000mN1850000E3650000",2500.0191067979,851.971203949067,34.0785877048875
"CRS3035RES50000mN1850000E3700000",2500.01910998162,1964.52572026095,78.5804281422228
"CRS3035RES50000mN1850000E3750000",2500.01911291156,188.463662320377,7.53848885982674
