"cellcode","bio1","bio10","bio12","bio15","bio4"
"50kmE390N255",11.7932605743408,20.1208362579346,1001.46319580078,15.9056692123413,633.681335449219
"50kmE395N255",10.3304443359375,18.5181312561035,1591.48681640625,13.6977386474609,625.303771972656
"50kmE400N255",9.40899181365967,17.7367000579834,1469.25463867188,11.7794141769409,643.832580566406
"50kmE405N255",5.59492063522339,14.4462938308716,1777.44372558594,12.0076341629028,693.007751464844
"50kmE410N255",0.762213945388794,10.2962522506714,1474.87451171875,13.9283256530762,752.582458496094
"50kmE415N255",0.565087080001831,9.96756553649902,1830.7841796875,22.5553188323975,727.787780761719
"50kmE420N255",5.00364446640015,13.9846649169922,2244.8134765625,33.5885887145996,695.881469726562
"50kmE425N255",3.49604988098145,12.5301990509033,1847.46716308594,35.8187484741211,711.776184082031
"50kmE430N255",1.30010509490967,10.8160562515259,1430.61608886719,33.8377532958984,763.759887695312
"50kmE435N255",0.645666420459747,10.1948118209839,1444.88525390625,40.674373626709,773.651550292969
"50kmE440N255",6.73855066299438,15.8155527114868,1123.3017578125,39.9468879699707,728.063049316406
"50kmE445N255",4.85550546646118,13.7873458862305,1417.87780761719,34.928539276123,704.809509277344
"50kmE450N255",7.74821186065674,16.7435836791992,1486.98669433594,29.3142967224121,712.588134765625
"50kmE455N255",9.82779026031494,18.953239440918,2060.01635742188,25.4398422241211,716.251159667969
"50kmE460N255",7.56062841415405,16.5279140472412,2313.18505859375,24.5981521606445,701.85888671875
"50kmE465N255",9.05453014373779,18.1710948944092,1499.50219726562,24.2287178039551,714.525390625
"50kmE470N255",10.0448837280273,19.2584438323975,1176.58520507812,27.7172737121582,723.849487304688
"50kmE475N255",10.7935543060303,20.1856327056885,1044.8984375,25.854419708252,739.720397949219
"50kmE340N260",13.4296503067017,18.7506408691406,745.973510742188,30.2529258728027,407.072967529297
"50kmE345N260",12.9491481781006,19.5326690673828,805.809997558594,26.8101940155029,504.441284179688
"50kmE350N260",12.3335237503052,19.3191795349121,905.532165527344,23.4825115203857,530.178344726562
"50kmE355N260",12.0050201416016,19.1807804107666,854.595275878906,20.1778526306152,543.110412597656
"50kmE360N260",11.9584665298462,19.3027172088623,869.214477539062,16.1723747253418,552.28955078125
"50kmE365N260",11.3889455795288,18.7516822814941,957.889038085938,13.2641115188599,553.638305664062
"50kmE370N260",11.118992805481,18.62624168396,879.566833496094,12.6213064193726,564.155639648438
"50kmE375N260",11.2775192260742,18.9912662506104,831.350891113281,16.2165470123291,581.964416503906
"50kmE380N260",11.5398387908936,19.5305233001709,846.289367675781,15.9610586166382,602.146057128906
"50kmE385N260",11.2601270675659,19.3926620483398,944.880859375,13.5040397644043,614.058776855469
"50kmE390N260",11.7157640457153,20.0139312744141,940.329772949219,15.099910736084,630.069458007812
"50kmE395N260",11.267204284668,19.437047958374,1433.08776855469,13.0034322738647,623.750915527344
"50kmE400N260",8.10854721069336,15.8955249786377,1744.794921875,10.2158575057983,598.738586425781
"50kmE405N260",9.35618591308594,17.4768085479736,1351.90942382812,12.6124305725098,625.747192382812
"50kmE410N260",6.09810256958008,14.6418180465698,1590.12145996094,22.7499809265137,663.617309570312
"50kmE415N260",2.4225652217865,11.0057992935181,2033.49621582031,19.8026332855225,663.703186035156
"50kmE420N260",0.460396140813828,9.36847686767578,2307.87915039062,21.1690521240234,695.284729003906
"50kmE425N260",1.78361546993256,10.7402839660645,1641.78576660156,28.2516613006592,709.4443359375
"50kmE430N260",-1.13570475578308,8.06402206420898,1460.09228515625,32.4899673461914,732.365417480469
"50kmE435N260",-0.708994567394257,8.64425277709961,1146.88403320312,38.3686714172363,741.199096679688
"50kmE440N260",3.63757371902466,12.742015838623,1066.80651855469,37.3050956726074,725.560729980469
"50kmE445N260",1.78800237178802,11.0063810348511,1087.92150878906,39.4112663269043,729.221740722656
"50kmE450N260",2.65366339683533,11.9163084030151,1395.85144042969,32.859432220459,736.593627929688
"50kmE455N260",5.1440806388855,14.3285369873047,1535.26611328125,31.6215400695801,731.659301757812
"50kmE460N260",6.67959260940552,15.8909025192261,1409.72106933594,35.2417449951172,733.352966308594
"50kmE465N260",7.91852712631226,17.1943016052246,1222.82531738281,36.0995407104492,738.822265625
"50kmE470N260",8.18779277801514,17.4115123748779,1210.40295410156,36.8616943359375,732.881469726562
"50kmE475N260",10.6915111541748,20.1823768615723,934.651916503906,31.9192886352539,755.567443847656
"50kmE480N260",11.0214004516602,20.5388793945312,799.527770996094,29.6494312286377,754.393737792969
"50kmE340N265",12.8652210235596,18.6087493896484,838.844360351562,31.0591773986816,441.63037109375
"50kmE345N265",12.2116527557373,18.9068222045898,879.561401367188,27.8371658325195,508.1826171875
"50kmE350N265",11.6316614151001,18.5872783660889,878.265869140625,23.34934425354,525.281921386719
"50kmE355N265",11.9277324676514,19.130651473999,745.746765136719,18.8400211334229,544.097778320312
"50kmE360N265",12.0171966552734,19.4272022247314,753.055725097656,16.5730285644531,557.975524902344
"50kmE365N265",11.861988067627,19.3965435028076,806.110229492188,14.7305555343628,568.220336914062
"50kmE370N265",11.6978921890259,19.3281517028809,815.171936035156,12.7064638137817,576.01220703125
